date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-24 23:57:25,RealTrumpGal,,0,0,1,"Health Secretary Matt Hancock says there is 'no good reason' Tube services have been slashed amid fury at Sadiq Khan over crammed London transport that risks fuelling coronavirus spread via https://dailym.ai/ios",,,,1242601446606024705,https://twitter.com/RealTrumpGal/status/1242601446606024705
2020-03-24 23:57:25,RealDelecto,,0,0,0,"We are in what is supposed to be a crisis. Why are members of Congress not in DC doing their jobs? Pelosi delays her coronavirus bill, says will try to pass Senate's without most members present ",,,,1242601446471872512,https://twitter.com/RealDelecto/status/1242601446471872512
2020-03-24 23:57:25,_biialouro,,0,0,5,"Nunca desejei mal pra ninguém mas sinceramente espero q o bolsonaro morra de coronavírus",,,,1242601446333468673,https://twitter.com/_biialouro/status/1242601446333468673
2020-03-24 23:57:25,WsyChris,notthefakeCodyB,1,0,1,"You say the coronavirus is from China，but you didn't have evidence.And the H1N1 is from USA，and who blame American？",,,,1242601446194827264,https://twitter.com/WsyChris/status/1242601446194827264
2020-03-24 23:57:25,doomscallop,,0,0,2,"corona vírus mate o bolsonaro, você já tá matando tanta gente, leva esse por favor!",,,,1242601445603622918,https://twitter.com/doomscallop/status/1242601445603622918
2020-03-24 23:57:25,JimWyler,lizzieohreally,0,0,3,"Yaay! Nowadays testing positive for the flu instead of the coronavirus is kinda like praying for herpes when you're afraid you may have contracted syphilis.",,,,1242601445519654915,https://twitter.com/JimWyler/status/1242601445519654915
2020-03-24 23:57:25,edwingiron01,nayibbukele,0,0,0,"A ellos no les importamos. Algún negocio están preparando con las muertes por corona virus. DIPUTADOS INEPTOS.",,,,1242601444810854402,https://twitter.com/edwingiron01/status/1242601444810854402
2020-03-24 23:57:25,jesus_fol,rdelgadov,1,0,6,"#FOLcomparte #DesdeCasaJuntos #EsElMomentoAhora Hoy he descubierto estas palabras que ha compartido @vkuppers apelando a la responsabilidad frente al #coronavirus... sobran comentarios... hablan por si solas #MentesExpertas #JuntosSomosInvencibles",,@vkuppers,#FOLcomparte #DesdeCasaJuntos #EsElMomentoAhora #coronavirus #MentesExpertas #JuntosSomosInvencibles,1242601444609527814,https://twitter.com/jesus_fol/status/1242601444609527814
2020-03-24 23:57:25,_phillipsmorgan,,0,0,3,"Coronavirus sparks layoffs at some local newspapers ",,,,1242601444601200640,https://twitter.com/_phillipsmorgan/status/1242601444601200640
2020-03-24 23:57:25,Linda_A_Bailey,Linda_A_Bailey,0,0,0,"#coronavirus @gofundme #fundraiser to make #masks for #NYC",,@gofundme,#coronavirus #fundraiser #masks #NYC,1242601444437569537,https://twitter.com/Linda_A_Bailey/status/1242601444437569537
2020-03-24 23:57:25,McmurtreyEric,AvistaUtilities,0,0,0,"Are you providing relief towards utilities during this coronavirus crisis?",,,,1242601444043132929,https://twitter.com/McmurtreyEric/status/1242601444043132929
2020-03-24 23:57:25,marcogomes,souljacker,8,6,195,"NESTE MOMENTO NY PODE TER PASSADO A SER MAIS SEGURA QUE SP NA CRISE DO #CORONAVIRUS #COVID19",,,#CORONAVIRUS #COVID19,1242601443674279936,https://twitter.com/marcogomes/status/1242601443674279936
2020-03-24 23:57:25,GTNewsNetwork,,0,0,0,"Doctors warn coronavirus deaths could 'skyrocket' if restrictions are loosened as Trump wants ",,,,1242601443355492352,https://twitter.com/GTNewsNetwork/status/1242601443355492352
2020-03-24 23:57:25,MichaeleneMani1,,0,0,0,"Senate Republicans are attempting to push through a massive corporate bailout that will exclude millions of immigrants from needed relief in the stimulus package. Tell your MOC to protect all families against the coronavirus pandemic. ",,,,1242601443258859520,https://twitter.com/MichaeleneMani1/status/1242601443258859520
